date,T1,T2,T3,T4,T5,PM2.5
2013-04-01,-0.545645630116924,0.6748652908468667,1.1512001495823083,-0.2607329850084989,0.3988908639501438,-0.006493417924704416
2013-04-08,0.6748652908468667,1.1512001495823083,-0.2607329850084989,0.3988908639501438,-0.006493417924704416,-0.6383865836737506
2013-04-15,1.1512001495823083,-0.2607329850084989,0.3988908639501438,-0.006493417924704416,-0.6383865836737506,-0.15097610671945802
2013-04-22,-0.2607329850084989,0.3988908639501438,-0.006493417924704416,-0.6383865836737506,-0.15097610671945802,0.30130879542668393
2013-04-29,0.3988908639501438,-0.006493417924704416,-0.6383865836737506,-0.15097610671945802,0.30130879542668393,0.11583803443235237
2013-05-06,-0.006493417924704416,-0.6383865836737506,-0.15097610671945802,0.30130879542668393,0.11583803443235237,0.4032211808477375
2013-05-13,-0.6383865836737506,-0.15097610671945802,0.30130879542668393,0.11583803443235237,0.4032211808477375,0.25733942385110475
2013-05-20,-0.15097610671945802,0.30130879542668393,0.11583803443235237,0.4032211808477375,0.25733942385110475,-0.06195478434390085
2013-05-27,0.30130879542668393,0.11583803443235237,0.4032211808477375,0.25733942385110475,-0.06195478434390085,-0.003662056876276961
2013-06-03,0.11583803443235237,0.4032211808477375,0.25733942385110475,-0.06195478434390085,-0.003662056876276961,0.57102926679071
2013-06-10,0.4032211808477375,0.25733942385110475,-0.06195478434390085,-0.003662056876276961,0.57102926679071,-0.0462992369658827
2013-06-17,0.25733942385110475,-0.06195478434390085,-0.003662056876276961,0.57102926679071,-0.0462992369658827,-0.4800303539696726
2013-06-24,-0.06195478434390085,-0.003662056876276961,0.57102926679071,-0.0462992369658827,-0.4800303539696726,0.5331304740623002
2013-07-01,-0.003662056876276961,0.57102926679071,-0.0462992369658827,-0.4800303539696726,0.5331304740623002,-0.2235921900791274
2013-07-08,0.57102926679071,-0.0462992369658827,-0.4800303539696726,0.5331304740623002,-0.2235921900791274,0.04097351729893258
2013-07-15,-0.0462992369658827,-0.4800303539696726,0.5331304740623002,-0.2235921900791274,0.04097351729893258,-0.07677779218566816
2013-07-22,-0.4800303539696726,0.5331304740623002,-0.2235921900791274,0.04097351729893258,-0.07677779218566816,-0.20660402378856227
2013-07-29,0.5331304740623002,-0.2235921900791274,0.04097351729893258,-0.07677779218566816,-0.20660402378856227,-0.3908923179112082
2013-08-05,-0.2235921900791274,0.04097351729893258,-0.07677779218566816,-0.20660402378856227,-0.3908923179112082,-0.06528579734205074
