date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,percent_change_next_weeks_price,quarter,stock_AA,stock_AXP,stock_BA,stock_BAC,stock_CAT,stock_CSCO,stock_CVX,stock_DD,stock_DIS,stock_GE,stock_HD,stock_HPQ,stock_IBM,stock_INTC,stock_JNJ,stock_JPM,stock_KO,stock_KRFT,stock_MCD,stock_MMM,stock_MRK,stock_MSFT,stock_PFE,stock_PG,stock_T,stock_TRV,stock_UTX,stock_VZ,stock_WMT,stock_XOM
2011-01-14,-1.1312365550107895,-1.1416106556252428,-1.1512371229851983,-1.1505566942253962,0.8380081044181846,-1.7812086801944096,-0.10399533369434479,-1.000728836002571,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-21,-1.1471185425063426,-1.1515103650274192,-1.1524787547831756,-1.1560275050968432,0.1501822219048628,-0.999061819865428,-1.200005182050454,0.5428193400742908,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-28,-1.1568920732728372,-1.1440105851772855,-1.1456497798943004,-1.1456937512285545,0.23539597605639115,0.6424586311880212,0.09285065980824049,2.156227761980403,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,-1.1474239653427958,-1.1212112544328792,-1.1344750937125045,-1.1149964235609917,0.2551920885205601,2.358273505973552,-0.08900769917096624,0.0140888106142366,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,-1.112300339150707,-1.118511333686831,-1.1099528657024527,-1.108005943003032,-0.006005530463447537,0.08016845414221034,-0.772691087746724,-0.31023560568617337,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,-1.1104678021319891,-1.1125115098067242,-1.1003302192681284,-1.1107413484387554,-0.23411234751600857,-0.26474152041149945,-0.8841181147707667,-0.7363139850357884,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,-1.1229901384265601,-1.1284110430890075,-1.1413040686013798,-1.1289773846769116,0.11434410129049444,-0.7178639977621998,1.4953374959755983,-0.5865973588313056,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,-1.1281823266462603,-1.1347108581631196,-1.1360271334599763,-1.1320167240499375,-0.040209014424517596,-0.5586445399011416,-0.5740243565241404,-1.3187531706618436,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,-1.135207051884678,-1.1404106908492213,-1.1580660978740736,-1.1487330906015807,-0.0083658410393088,-1.3372718332403954,-0.02896993766190953,0.304211871419007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,-1.1544486905812137,-1.153010320997446,-1.1577556899245793,-1.1463016191031599,0.09718541713068297,0.3887062406618967,0.20824162881553718,1.5556708172730727,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
